name,pname,cityname,adname,townName,address,tel,location,id,tag,pcode,parent,distance,importance,biz_ext,biz_type,recommend,type,photos,discount_num,gridcode,typecode,shopinfo,poiweight,citycode,children,alias,event,entr_location,indoor_map,email,timestamp,website,adcode,postcode,match,business_area,indoor_data,childtype,exit_location,shopid,navi_poiid,groupbuy_num,isin_region,查询关键词,手机号识别,gcj02_lng,gcj02_lat,行业大类,行业子类
西安乾元新景鄠邑店,陕西省,西安市,鄠邑区,,钓台路穆南村村口,182****5300,"108.604087,34.089245",B0H3472CJK,,,[],[],[],[],[],,汽车销售;汽车销售;汽车销售,[],,,20000,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,108.604087,34.089245,汽车销售,汽车销售
爱华实验幼儿园,陕西省,西安市,长安区,,栾树大道与环五路交叉口北200米,147****0816,"108.870518,34.139311",B0FFFDAQ3U,,,[],[],[],[],[],,科教文化服务;学校;幼儿园,[],,,141204,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,108.870518,34.139311,科教文化服务,学校
爱贝尔幼儿园(团结东路),陕西省,西安市,莲湖区,,团结东路副17号,152****0819;181****6967,"108.905968,34.263305",B0FFFQZHIN,,,[],[],[],[],[],,科教文化服务;学校;幼儿园,[],,,141204,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,108.905968,34.263305,科教文化服务,学校
WOW魔兽VR电玩CLUB,陕西省,西安市,雁塔区,,华旗国际b座2212室,132****9965,"108.947608,34.221570",B0FFL23PBX,,,B001D08BZY,[],[],[],[],,科教文化服务;科技馆;科技馆,[],,,140600,0,[],,,,,,,,,,,,,,,202,,[],,,yes,,1,108.947608,34.22157,科教文化服务,科技馆
周至西街小学,陕西省,西安市,周至县,,老城西街64号,158****6588,"108.215349,34.162494",B001D091JR,,,[],[],[],[],[],,科教文化服务;学校;小学,[],,,141203,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,108.215349,34.162494,科教文化服务,学校
金果果幼儿园,陕西省,西安市,鄠邑区,,祖庵镇,132****1349,"108.486964,34.106249",B001D0VQS7,,,[],[],[],[],[],,科教文化服务;学校;幼儿园,[],,,141204,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,108.486964,34.106249,科教文化服务,学校
智宏图书,陕西省,西安市,长安区,,南横线里杜村村口,180****5893,"108.868932,34.112223",B0FFLIH6BE,,,[],[],[],[],[],,科教文化服务;科教文化场所;科教文化场所,[],,,140000,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,108.868932,34.112223,科教文化服务,科教文化场所
红军过境陈列馆,陕西省,西安市,鄠邑区,,渭涝路南100米,152****6243,"108.557684,34.024936",B0FFMBKGLQ,,,[],[],[],[],[],,科教文化服务;展览馆;展览馆,[],,,140200,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,108.557684,34.024936,科教文化服务,展览馆
英格幼儿园,陕西省,西安市,莲湖区,,一中北路9-附15号附近,185****1242,"108.919677,34.265258",B0FFH0V8NC,,,[],[],[],[],[],,科教文化服务;学校;幼儿园,[],,,141204,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,108.919677,34.265258,科教文化服务,学校
西部驾校,陕西省,西安市,长安区,,小居安村居安路南一巷,135****6445,"108.869171,34.139224",B0FFFX1CCN,,,B0FFG1U77Y,[],[],[],[],,科教文化服务;驾校;驾校|生活服务;生活服务场所;生活服务场所,[],,,141500|070000,0,[],,,,,,,,,,,,,,,0,,[],,,yes,,1,108.869171,34.139224,科教文化服务,驾校
大学南路小学(分校),陕西省,西安市,碑林区,,水文巷46号(边家村),186****6193,"108.927413,34.237661",B0FFGODRV5,,,[],[],[],[],[],,科教文化服务;学校;小学,[],,,141203,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,108.927413,34.237661,科教文化服务,学校
G·D街舞文化中心,陕西省,西安市,周至县,全部,北泉巷,177****6350,"108.222253,34.166524",B0FFLAUJQ8,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,科教文化服务;培训机构;培训机构,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/53ab49f1dbf97a22d4c1cd10fae2b1ec'}]",0,5108119722,141400,0,[],29,[],[],[],[],0,[],2021/11/17 15:18,[],610124,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,108.222253,34.166524,科教文化服务,培训机构
星辰托管,陕西省,西安市,周至县,全部,老城西街73号北90米,152****0111,"108.214341,34.164357",B0FFLAUXP9,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,科教文化服务;培训机构;培训机构,[],0,5108119720,141400,0,[],29,[],[],[],[],0,[],2021/12/1 12:11,[],610124,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,108.214341,34.164357,科教文化服务,培训机构
西荷小学,陕西省,西安市,碑林区,,何家村兴化巷,187****5344;138****6996,"108.927924,34.233558",B001D08BHI,,,[],[],[],[],[],,科教文化服务;学校;小学,[],,,141203,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,108.927924,34.233558,科教文化服务,学校
小松树幼儿园,陕西省,西安市,周至县,全部,X312与周哑路交叉口西南方向50米,182****9526,"108.149793,34.112638",B0FFHONTPV,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,科教文化服务;学校;幼儿园,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/f20549afc71837b907d861c346155a15'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/a09e0d3a4453b8b9886136854b366842'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/c660a6e9b16a7f83c215c044636a73c9'}]",0,5108113112,141204,0,[],29,[],[],[],[],0,[],2021/12/7 14:21,[],610124,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,108.149793,34.112638,科教文化服务,学校
智慧桑迪幼儿园,陕西省,西安市,莲湖区,,铁塔寺路新郭家口村77号,159****2516,"108.914202,34.262347",B0FFIWUTDJ,,,[],[],[],[],[],,科教文化服务;学校;幼儿园,[],,,141204,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,108.914202,34.262347,科教文化服务,学校
音未少儿口才艺术中心,陕西省,西安市,周至县,全部,老三门十字西北角嘉恒广场北楼二楼,189****0560;152****1648,"108.217548,34.163618",B0FFLO2IPP,[],610000,B0FFFFX09R,[],[],"{'cost': [], 'rating': []}",[],0,科教文化服务;培训机构;培训机构,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/9ba312aa1650a5d6ee47a91887744c04'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/0e4b7cf4f2839415ec3b44f2af7ede19'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/49d9c811436d785646e4f359ac5b7e80'}]",0,5108119711,141400,1,[],29,[],[],[],[],0,[],2021/12/7 20:26,[],610124,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",202,[],[],[],0,yes,,1,108.217548,34.163618,科教文化服务,培训机构
JHS流行舞,陕西省,西安市,周至县,全部,水岸东方商业区JHS流行舞,181****7193,"108.233905,34.158399",B0FFLPFVNC,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,科教文化服务;培训机构;培训机构,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/06478e617f2907d88aa5fbdd25dd4f9d'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/255e7107adacb2ac93bb94f3fcc1a75e'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/a5ef2611cc3dc851b87188a222959a81'}]",0,5108119802,141400,1,[],29,[],[],[],[],0,[],2021/12/7 23:21,[],610124,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,108.233905,34.158399,科教文化服务,培训机构
高乐迪机器人活动中心,陕西省,西安市,周至县,全部,金周御园步行街c区2楼10206-10209,131****7129,"108.208624,34.153068",B0GDLHHI79,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,科教文化服务;培训机构;培训机构,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/c9a73f27d7952448d07ccd61d1c35b16'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/40e6ac6ad5b05dfeeae416396b3b16d3'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/9450df783f5797e0fd50bf6dbc4a8368'}]",0,5108118612,141400,1,[],29,[],[],[],[],0,[],2021/12/5 16:00,[],610124,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,108.208624,34.153068,科教文化服务,培训机构
非池艺术中心,陕西省,西安市,雁塔区,,锦业路与丈八三路交口向东150米路北维萨瀛海大厦13层06室,187****4363,"108.876739,34.194343",B0FFGXV8DC,,,B0FFF5N2RP,[],[],[],[],,科教文化服务;科教文化场所;科教文化场所,[],,,140000,0,[],,,,,,,,,,,,,,,202,,[],,,yes,,1,108.876739,34.194343,科教文化服务,科教文化场所
艺朵舞蹈培训,陕西省,西安市,周至县,全部,二曲路68号,130****1188,"108.199718,34.161296",B0FFLAKN47,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,科教文化服务;培训机构;培训机构,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/c5d584c3ba6d2673d5cf9b90cbc2b447'}]",0,5108119512,141400,0,[],29,[],[],[],[],0,[],2021/12/7 17:48,[],610124,[],0,中心西街,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,108.199718,34.161296,科教文化服务,培训机构
爱可托连锁托教(周至校区),陕西省,西安市,周至县,全部,老城东街东街小学,152****5534,"108.225117,34.162822",B0H657NY5Y,[],610000,[],[],[],"{'cost': [], 'rating': '3.0'}",[],0,科教文化服务;培训机构;培训机构,[],0,5108119810,141400,0,[],29,[],[],[],[],0,[],2021/11/18 14:22,[],610124,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],I49F023002_25007,0,yes,,1,108.225117,34.162822,科教文化服务,培训机构
鹏翔普集街北关驾校办公室,陕西省,咸阳市,武功县,全部,乡梅路与县环南路中段交叉口西150米,138****5423;138****0826,"108.250143,34.233327",B0GUB9PLZ6,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,科教文化服务;科教文化场所;科教文化场所,[],0,5108227020,140000,0,[],910,[],[],[],[],0,[],2021/11/22 5:27,[],610431,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,108.250143,34.233327,科教文化服务,科教文化场所
金钥匙教育,陕西省,西安市,周至县,全部,圣学南巷周至商贸大厦东北侧约60米,132****2242,"108.222052,34.161636",B0FFILBAFM,[],610000,[],[],[],"{'cost': [], 'rating': '3.5'}",[],0,科教文化服务;培训机构;培训机构,[],0,5108119712,141400,0,[],29,[],[],[],[],0,[],2021/12/6 9:47,[],610124,[],0,中心西街,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,108.222052,34.161636,科教文化服务,培训机构
睿鼎图书馆金地西沣馆,陕西省,西安市,雁塔区,,金地西沣公元一期4号楼1304室,177****0224,"108.893417,34.174083",B0G0X50BCD,,,[],[],[],[],[],,科教文化服务;图书馆;图书馆,[],,,140500,1,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,108.893417,34.174083,科教文化服务,图书馆
禅绕艺术美学馆,陕西省,西安市,雁塔区,,小寨东路11号一又二分之一国际公寓B座1501室,180****7909,"108.952707,34.222429",B0FFI5C4HH,,,B0FFHLK93H,[],[],[],[],,科教文化服务;科教文化场所;科教文化场所,[],,,140000,0,[],,,,,,,,,,,,,,,202,,[],,,yes,,1,108.952707,34.222429,科教文化服务,科教文化场所
西安古怪制片厂·荒诞剧社,陕西省,西安市,雁塔区,,小寨东路百隆广场A座8楼(赛格南门斜对面),187****8506;186****1667,"108.951584,34.222416",B0G0SO33CY,,,B001D14YNI,[],[],[],[],,科教文化服务;科教文化场所;科教文化场所,[],,,140000,0,[],,,,,,,,,,,,,,,202,,[],,,yes,,1,108.951584,34.222416,科教文化服务,科教文化场所
